symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2020-05-15 00:00:00+00:00,307.71,307.9,300.21,300.35,41587094,76.4096072493,76.4567874689,74.5472301593,74.5819945316,166348376,0.0,1.0
AAPL,2020-05-18 00:00:00+00:00,314.96,316.5,310.32,313.17,33843125,78.209905103,78.5923131988,77.0577144766,77.7654177708,135372500,0.0,1.0
AAPL,2020-05-19 00:00:00+00:00,313.14,318.52,313.01,315.03,25432385,77.7579682625,79.0939134284,77.7256870596,78.2272872891,101729540,0.0,1.0
AAPL,2020-05-20 00:00:00+00:00,319.23,319.52,316.52,316.68,27876215,79.2702184596,79.3422303737,78.5972795377,78.6370102489,111504860,0.0,1.0
AAPL,2020-05-21 00:00:00+00:00,316.85,320.89,315.87,318.66,25672211,78.6792241297,79.6824245888,78.4358735232,79.1286778007,102688844,0.0,1.0
AAPL,2020-05-22 00:00:00+00:00,318.89,319.23,315.35,315.77,20450754,79.1857906981,79.2702184596,78.3067487117,78.4110418287,81803016,0.0,1.0
AAPL,2020-05-26 00:00:00+00:00,316.73,324.24,316.5,323.5,31380454,78.6494260962,80.5142863557,78.5923131988,80.3305318161,125521816,0.0,1.0
AAPL,2020-05-27 00:00:00+00:00,318.11,318.71,313.09,316.14,28236274,78.9921034808,79.141093648,77.7455524152,78.5029190985,112945096,0.0,1.0
AAPL,2020-05-28 00:00:00+00:00,318.25,323.44,315.63,316.77,33449103,79.0268678531,80.3156327994,78.3762774563,78.659358774,133796412,0.0,1.0
AAPL,2020-05-29 00:00:00+00:00,317.94,321.15,316.47,319.25,38399532,78.9498896001,79.7469869946,78.5848636904,79.2751847985,153598128,0.0,1.0
AAPL,2020-06-01 00:00:00+00:00,321.85,322.35,317.21,317.75,20254653,79.9208088563,80.044967329,78.76861823,78.9027093805,81018612,0.0,1.0
AAPL,2020-06-02 00:00:00+00:00,323.34,323.44,318.93,320.75,21910704,80.2908011049,80.3156327994,79.195723376,79.6476602165,87642816,0.0,1.0
AAPL,2020-06-03 00:00:00+00:00,325.12,326.2,322.3,324.66,26122804,80.7328052676,81.0009875685,80.0325514817,80.6185794727,104491216,0.0,1.0
AAPL,2020-06-04 00:00:00+00:00,322.32,325.62,320.78,324.39,21890091,80.0375178206,80.8569637402,79.6551097248,80.5515338975,87560364,0.0,1.0
AAPL,2020-06-05 00:00:00+00:00,331.5,331.75,323.23,323.35,34312550,82.3170673788,82.3791466152,80.2634862409,80.2932842743,137250200,0.0,1.0
AAPL,2020-06-08 00:00:00+00:00,333.46,333.6,327.32,330.25,23913634,82.8037685917,82.838532964,81.2791025473,82.0066711972,95654536,0.0,1.0
AAPL,2020-06-09 00:00:00+00:00,343.99,345.61,332.01,332.14,36928091,85.4185460261,85.8208194775,82.4437090209,82.4759902238,147712364,0.0,1.0
